0f	0.01f
0.008f	0.0099574f
0.016f	0.00988529f
0.024f	0.00980886f
0.032f	0.00973222f
0.04f	0.00965606f
0.048f	0.00958047f
0.056f	0.00950546f
0.064f	0.00943105f
0.072f	0.00935721f
0.08f	0.00928395f
0.088f	0.00921127f
0.096f	0.00913916f
0.104f	0.00906761f
0.112f	0.00899662f
0.12f	0.00892619f
0.128f	0.00885631f
0.136f	0.00878697f
0.144f	0.00871818f
0.152f	0.00864993f
0.16f	0.00858221f
0.168f	0.00851502f
0.176f	0.00844835f
0.184f	0.00838221f
0.192f	0.00831659f
0.2f	0.00825148f
0.208f	0.00818688f
0.216f	0.00812279f
0.224f	0.0080592f
0.232f	0.0079961f
0.24f	0.0079335f
0.248f	0.00787139f
0.256f	0.00780977f
0.264f	0.00774863f
0.272f	0.00768796f
0.28f	0.00762777f
0.288f	0.00756806f
0.296f	0.00750881f
0.304f	0.00745002f
0.312f	0.0073917f
0.32f	0.00733383f
0.328f	0.00727641f
0.336f	0.00721945f
0.344f	0.00716293f
0.352f	0.00710685f
0.36f	0.00705121f
0.368f	0.00699601f
0.376f	0.00694124f
0.384f	0.0068869f
0.392f	0.00683298f
0.4f	0.00677949f
0.408f	0.00672641f
0.416f	0.00667375f
0.424f	0.0066215f
0.432f	0.00656966f
0.44f	0.00651823f
0.448f	0.0064672f
0.456f	0.00641657f
0.464f	0.00636633f
0.472f	0.00631649f
0.48f	0.00626704f
0.488f	0.00621798f
0.496f	0.0061693f
