0f	0f
0.005f	-0.00667374f
0.01f	-0.00876811f
0.015f	-0.0094031f
0.02f	-0.0095731f
0.025f	-0.00959506f
0.03f	-0.00956999f
0.035f	-0.00953009f
0.04f	-0.00948562f
0.045f	-0.00943985f
0.05f	-0.00939382f
0.055f	-0.00934786f
0.06f	-0.00930207f
0.065f	-0.0092565f
0.07f	-0.00921114f
0.075f	-0.00916601f
0.08f	-0.00912109f
0.085f	-0.0090764f
0.09f	-0.00903192f
0.095f	-0.00898766f
0.1f	-0.00894362f
0.105f	-0.00889979f
0.11f	-0.00885618f
0.115f	-0.00881278f
0.12f	-0.0087696f
0.125f	-0.00872663f
0.13f	-0.00868386f
0.135f	-0.00864131f
0.14f	-0.00859897f
0.145f	-0.00855683f
0.15f	-0.0085149f
0.155f	-0.00847317f
0.16f	-0.00843165f
0.165f	-0.00839034f
0.17f	-0.00834922f
0.175f	-0.00830831f
0.18f	-0.00826759f
0.185f	-0.00822708f
0.19f	-0.00818677f
0.195f	-0.00814665f
0.2f	-0.00810673f
0.205f	-0.008067f
0.21f	-0.00802747f
0.215f	-0.00798814f
0.22f	-0.00794899f
0.225f	-0.00791004f
0.23f	-0.00787128f
0.235f	-0.00783271f
0.24f	-0.00779433f
0.245f	-0.00775613f
0.25f	-0.00771813f
0.255f	-0.00768031f
0.26f	-0.00764267f
0.265f	-0.00760522f
0.27f	-0.00756795f
0.275f	-0.00753087f
0.28f	-0.00749396f
0.285f	-0.00745724f
0.29f	-0.0074207f
0.295f	-0.00738434f
0.3f	-0.00734815f
0.305f	-0.00731214f
0.31f	-0.00727631f
0.315f	-0.00724066f
0.32f	-0.00720518f
0.325f	-0.00716987f
0.33f	-0.00713473f
0.335f	-0.00709977f
0.34f	-0.00706498f
0.345f	-0.00703036f
0.35f	-0.00699591f
0.355f	-0.00696163f
0.36f	-0.00692752f
0.365f	-0.00689357f
0.37f	-0.00685979f
0.375f	-0.00682617f
0.38f	-0.00679272f
0.385f	-0.00675944f
0.39f	-0.00672632f
0.395f	-0.00669336f
0.4f	-0.00666056f
0.405f	-0.00662792f
0.41f	-0.00659544f
0.415f	-0.00656312f
0.42f	-0.00653096f
0.425f	-0.00649896f
0.43f	-0.00646711f
0.435f	-0.00643542f
0.44f	-0.00640388f
0.445f	-0.0063725f
0.45f	-0.00634128f
0.455f	-0.0063102f
0.46f	-0.00627928f
0.465f	-0.00624851f
0.47f	-0.00621789f
0.475f	-0.00618742f
0.48f	-0.0061571f
0.485f	-0.00612693f
0.49f	-0.00609691f
0.495f	-0.00606703f
