0f	0.01f
0.005f	0.00998014f
0.01f	0.00994052f
0.015f	0.00989477f
0.02f	0.00984723f
0.025f	0.00979927f
0.03f	0.00975135f
0.035f	0.0097036f
0.04f	0.00965606f
0.045f	0.00960874f
0.05f	0.00956166f
0.055f	0.00951481f
0.06f	0.00946818f
0.065f	0.00942178f
0.07f	0.00937562f
0.075f	0.00932967f
0.08f	0.00928395f
0.085f	0.00923846f
0.09f	0.00919319f
0.095f	0.00914814f
0.1f	0.00910331f
0.105f	0.0090587f
0.11f	0.00901432f
0.115f	0.00897014f
0.12f	0.00892619f
0.125f	0.00888245f
0.13f	0.00883892f
0.135f	0.00879561f
0.14f	0.00875251f
0.145f	0.00870962f
0.15f	0.00866694f
0.155f	0.00862447f
0.16f	0.00858221f
0.165f	0.00854015f
0.17f	0.0084983f
0.175f	0.00845666f
0.18f	0.00841522f
0.185f	0.00837398f
0.19f	0.00833295f
0.195f	0.00829211f
0.2f	0.00825148f
0.205f	0.00821105f
0.21f	0.00817081f
0.215f	0.00813077f
0.22f	0.00809093f
0.225f	0.00805128f
0.23f	0.00801183f
0.235f	0.00797257f
0.24f	0.0079335f
0.245f	0.00789462f
0.25f	0.00785594f
0.255f	0.00781744f
0.26f	0.00777914f
0.265f	0.00774102f
0.27f	0.00770308f
0.275f	0.00766534f
0.28f	0.00762777f
0.285f	0.0075904f
0.29f	0.0075532f
0.295f	0.00751619f
0.3f	0.00747936f
0.305f	0.00744271f
0.31f	0.00740624f
0.315f	0.00736994f
0.32f	0.00733383f
0.325f	0.00729789f
0.33f	0.00726213f
0.335f	0.00722654f
0.34f	0.00719113f
0.345f	0.00715589f
0.35f	0.00712083f
0.355f	0.00708593f
0.36f	0.00705121f
0.365f	0.00701666f
0.37f	0.00698228f
0.375f	0.00694806f
0.38f	0.00691401f
0.385f	0.00688013f
0.39f	0.00684642f
0.395f	0.00681287f
0.4f	0.00677949f
0.405f	0.00674626f
0.41f	0.00671321f
0.415f	0.00668031f
0.42f	0.00664757f
0.425f	0.006615f
0.43f	0.00658258f
0.435f	0.00655033f
0.44f	0.00651823f
0.445f	0.00648629f
0.45f	0.0064545f
0.455f	0.00642288f
0.46f	0.0063914f
0.465f	0.00636008f
0.47f	0.00632892f
0.475f	0.0062979f
0.48f	0.00626704f
0.485f	0.00623633f
0.49f	0.00620577f
0.495f	0.00617536f
